Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
1993-94,1993-08-17T00:00:00Z,Leeds,West Ham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-17T00:00:00Z,Wimbledon,Chelsea,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,Blackburn,Norwich,2,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,Coventry,Newcastle,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,Man United,Sheffield United,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,QPR,Liverpool,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,Sheffield Weds,Aston Villa,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-18T00:00:00Z,Swindon,Oldham,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Blackburn,Oldham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Coventry,West Ham,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Everton,Sheffield United,4,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Ipswich,Chelsea,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Leeds,Norwich,0,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Man United,Newcastle,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,QPR,Southampton,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Sheffield Weds,Arsenal,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Tottenham,Man City,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-21T00:00:00Z,Wimbledon,Aston Villa,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-22T00:00:00Z,Swindon,Liverpool,0,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-23T00:00:00Z,Aston Villa,Man United,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-24T00:00:00Z,Arsenal,Leeds,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-24T00:00:00Z,Man City,Blackburn,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-24T00:00:00Z,Oldham,Coventry,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-24T00:00:00Z,Sheffield United,Wimbledon,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,Chelsea,QPR,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,Liverpool,Tottenham,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,Newcastle,Everton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,Norwich,Ipswich,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,Southampton,Swindon,5,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-25T00:00:00Z,West Ham,Sheffield Weds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-27T00:00:00Z,Man City,Coventry,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Arsenal,Everton,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Aston Villa,Tottenham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Chelsea,Sheffield Weds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Liverpool,Leeds,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Norwich,Swindon,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Oldham,Wimbledon,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Sheffield United,Ipswich,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,Southampton,Man United,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-28T00:00:00Z,West Ham,QPR,0,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-29T00:00:00Z,Newcastle,Blackburn,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-30T00:00:00Z,Leeds,Oldham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-31T00:00:00Z,Everton,Aston Villa,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-31T00:00:00Z,Ipswich,Newcastle,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-08-31T00:00:00Z,Wimbledon,Southampton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Blackburn,Arsenal,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Coventry,Liverpool,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Man United,West Ham,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,QPR,Sheffield United,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Sheffield Weds,Norwich,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Swindon,Man City,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-01T00:00:00Z,Tottenham,Chelsea,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Arsenal,Ipswich,4,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Aston Villa,Coventry,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Chelsea,Man United,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Man City,QPR,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Norwich,Wimbledon,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Oldham,Everton,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Sheffield United,Tottenham,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,Southampton,Leeds,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-11T00:00:00Z,West Ham,Swindon,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-12T00:00:00Z,Liverpool,Blackburn,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-13T00:00:00Z,Newcastle,Sheffield Weds,4,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Blackburn,West Ham,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Coventry,Chelsea,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Everton,Liverpool,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Ipswich,Aston Villa,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Leeds,Sheffield United,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,QPR,Norwich,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Sheffield Weds,Southampton,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Swindon,Newcastle,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-18T00:00:00Z,Tottenham,Oldham,5,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-19T00:00:00Z,Man United,Arsenal,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-20T00:00:00Z,Wimbledon,Man City,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Arsenal,Southampton,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Blackburn,Sheffield Weds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Chelsea,Liverpool,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Coventry,Leeds,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Everton,Norwich,1,5,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Man United,Swindon,4,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Newcastle,West Ham,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Oldham,Aston Villa,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-25T00:00:00Z,Sheffield United,Man City,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-26T00:00:00Z,Ipswich,Tottenham,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-09-27T00:00:00Z,Wimbledon,QPR,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Aston Villa,Newcastle,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Leeds,Wimbledon,4,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Liverpool,Arsenal,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Norwich,Coventry,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,QPR,Ipswich,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Sheffield Weds,Man United,2,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Southampton,Sheffield United,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,Swindon,Blackburn,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-02T00:00:00Z,West Ham,Chelsea,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-03T00:00:00Z,Tottenham,Everton,3,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-04T00:00:00Z,Man City,Oldham,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Arsenal,Man City,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Chelsea,Norwich,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Coventry,Southampton,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Liverpool,Oldham,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Man United,Tottenham,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Newcastle,QPR,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Sheffield Weds,Wimbledon,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,Swindon,Everton,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-16T00:00:00Z,West Ham,Aston Villa,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-17T00:00:00Z,Ipswich,Leeds,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-18T00:00:00Z,Blackburn,Sheffield United,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Aston Villa,Chelsea,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Everton,Man United,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Leeds,Blackburn,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Man City,Liverpool,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Norwich,West Ham,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Oldham,Arsenal,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,QPR,Coventry,5,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Sheffield United,Sheffield Weds,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-23T00:00:00Z,Tottenham,Swindon,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-24T00:00:00Z,Southampton,Newcastle,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-25T00:00:00Z,Wimbledon,Ipswich,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Arsenal,Norwich,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Blackburn,Tottenham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Chelsea,Oldham,0,1,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Ipswich,Everton,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Liverpool,Southampton,4,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Man United,QPR,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Newcastle,Wimbledon,4,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Sheffield Weds,Leeds,3,3,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-30T00:00:00Z,Swindon,Aston Villa,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-10-31T00:00:00Z,Coventry,Sheffield United,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-01T00:00:00Z,West Ham,Man City,3,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Arsenal,Aston Villa,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Coventry,Everton,2,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Ipswich,Sheffield Weds,1,4,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Leeds,Chelsea,4,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Liverpool,West Ham,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,QPR,Blackburn,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Sheffield United,Norwich,1,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Southampton,Tottenham,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-06T00:00:00Z,Wimbledon,Swindon,3,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-07T00:00:00Z,Man City,Man United,2,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-08T00:00:00Z,Oldham,Newcastle,1,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Aston Villa,Sheffield United,1,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Blackburn,Southampton,2,0,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Chelsea,Arsenal,0,2,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Everton,QPR,0,3,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Man United,Wimbledon,3,1,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Norwich,Man City,1,1,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Sheffield Weds,Coventry,0,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993-94,1993-11-20T00:00:00Z,Swindon,Ipswich,2,2,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
