home,away,home_code,away_code,home_last_wins,home_last_draws,home_last_loses,away_last_wins,away_last_draws,away_last_loses,GF,GA
Man United,Aston Villa,27,1,4,0,1,2,2,1,3,2
Sunderland,Everton,40,18,1,2,2,0,4,1,1,2
Arsenal,Fulham,0,19,2,0,3,1,3,1,3,3
Aston Villa,Man United,1,27,1,2,2,1,0,4,2,3
Reading,Norwich,35,30,0,4,1,2,1,2,0,0
Stoke,QPR,39,34,1,2,2,3,2,0,1,0
Norwich,Reading,30,35,2,1,2,1,4,0,0,0
Swansea,Southampton,41,38,1,2,2,4,1,0,1,1
QPR,Stoke,34,39,0,2,3,2,2,1,0,1
Everton,Sunderland,18,40,1,4,0,2,2,1,2,1
Southampton,Swansea,38,41,0,1,4,2,2,1,1,1
Wigan,West Brom,47,45,2,1,2,2,1,2,1,2
West Brom,Wigan,45,47,2,1,2,2,1,2,2,1
Liverpool,Chelsea,25,14,2,3,0,1,1,3,1,1
Chelsea,Liverpool,14,25,3,1,1,0,3,2,1,1
Tottenham,Man City,43,26,3,0,2,0,1,4,1,2
West Ham,Newcastle,46,29,2,1,2,1,3,1,1,0
Man City,Tottenham,26,43,4,1,0,2,0,3,2,1
Newcastle,West Ham,29,46,1,3,1,2,1,2,0,1
Tottenham,Arsenal,43,0,2,0,3,2,1,2,2,5
Man City,Aston Villa,26,1,4,1,0,3,1,1,5,0
West Brom,Chelsea,45,14,3,0,2,1,2,2,2,1
Reading,Everton,35,18,0,4,1,0,4,1,2,1
Wigan,Liverpool,47,25,2,1,2,0,4,1,0,3
Aston Villa,Man City,1,26,1,1,3,0,1,4,0,5
Norwich,Man United,30,27,2,2,1,0,0,5,1,0
Swansea,Newcastle,41,29,1,3,1,2,2,1,2,1
Man United,Norwich,27,30,5,0,0,1,2,2,0,1
Southampton,QPR,38,34,0,2,3,3,2,0,3,1
Everton,Reading,18,35,1,4,0,1,4,0,1,2
QPR,Southampton,34,38,0,2,3,3,2,0,1,3
Newcastle,Swansea,29,41,1,2,2,1,3,1,1,2
Arsenal,Tottenham,0,43,2,1,2,3,0,2,5,2
Chelsea,West Brom,14,45,2,2,1,2,0,3,1,2
Liverpool,Wigan,25,47,1,4,0,2,1,2,3,0
Sunderland,Fulham,40,19,0,2,3,0,4,1,3,1
Fulham,Sunderland,19,40,1,4,0,3,2,0,1,3
West Ham,Stoke,46,39,2,1,2,2,2,1,1,1
Stoke,West Ham,39,46,1,2,2,2,1,2,1,1
Aston Villa,Arsenal,1,0,1,1,3,2,1,2,0,0
Arsenal,Aston Villa,0,1,2,1,2,3,1,1,0,0
Norwich,Everton,30,18,3,2,0,1,3,1,1,1
Stoke,Fulham,39,19,1,2,2,1,3,1,1,0
QPR,Man United,34,27,0,2,3,1,0,4,1,3
Everton,Norwich,18,30,1,3,1,0,2,3,1,1
Man United,QPR,27,34,4,0,1,3,2,0,3,1
Wigan,Reading,47,35,2,0,3,1,3,1,3,2
Fulham,Stoke,19,39,1,3,1,2,2,1,0,1
West Brom,Sunderland,45,40,3,0,2,2,2,1,4,2
Sunderland,West Brom,40,45,1,2,2,2,0,3,2,4
Reading,Wigan,35,47,1,3,1,3,0,2,2,3
Man City,Chelsea,26,14,4,1,0,2,2,1,0,0
Swansea,Liverpool,41,25,2,2,1,0,3,2,0,0
Chelsea,Man City,14,26,1,2,2,0,1,4,0,0
Southampton,Newcastle,38,29,1,1,3,2,2,1,2,0
Newcastle,Southampton,29,38,1,2,2,3,1,1,0,2
Liverpool,Swansea,25,41,2,3,0,1,2,2,0,0
West Ham,Tottenham,46,43,2,2,1,4,0,1,1,3
Tottenham,West Ham,43,46,1,0,4,1,2,2,3,1
Reading,Aston Villa,35,1,1,3,1,2,2,1,0,1
Sunderland,QPR,40,34,1,1,3,4,1,0,0,0
Aston Villa,Reading,1,35,1,2,2,1,3,1,1,0
QPR,Sunderland,34,40,0,1,4,3,1,1,0,0
Everton,Arsenal,18,0,1,3,1,1,2,2,1,1
Fulham,Chelsea,19,14,0,3,2,2,3,0,0,0
Arsenal,Everton,0,18,2,2,1,1,3,1,1,1
Chelsea,Fulham,14,19,0,3,2,2,3,0,0,0
Tottenham,Liverpool,43,25,2,0,3,0,4,1,2,1
Wigan,Man City,47,26,3,0,2,0,2,3,0,2
West Ham,Man United,46,27,1,2,2,1,0,4,0,1
Stoke,Newcastle,39,29,2,2,1,3,1,1,2,1
Southampton,Norwich,38,30,2,1,2,0,3,2,1,1
Norwich,Southampton,30,38,2,3,0,2,1,2,1,1
Newcastle,Stoke,29,39,1,1,3,1,2,2,1,2
West Brom,Swansea,45,41,4,0,1,1,3,1,1,3
Liverpool,Tottenham,25,43,1,4,0,3,0,2,1,2
Swansea,West Brom,41,45,1,3,1,1,0,4,3,1
Man United,West Ham,27,46,4,0,1,2,2,1,1,0
Man City,Wigan,26,47,3,2,0,2,0,3,2,0
Swansea,Arsenal,41,0,2,3,0,1,3,1,2,0
QPR,Aston Villa,34,1,0,2,3,2,1,2,1,1
West Ham,Chelsea,46,14,1,2,2,1,4,0,3,1
Man City,Everton,26,18,3,2,0,1,3,1,1,1
Tottenham,Fulham,43,19,2,0,3,2,3,0,3,0
Southampton,Liverpool,38,25,2,2,1,1,3,1,0,1
Everton,Man City,18,26,1,3,1,0,2,3,1,1
Reading,Man United,35,27,1,2,2,1,0,4,3,4
Aston Villa,QPR,1,34,2,1,2,3,2,0,1,1
Man United,Reading,27,35,4,0,1,2,2,1,4,3
Liverpool,Southampton,25,38,1,3,1,1,2,2,1,0
West Brom,Stoke,45,39,4,0,1,1,1,3,0,1
Arsenal,Swansea,0,41,1,3,1,0,3,2,0,2
Fulham,Tottenham,19,43,0,3,2,3,0,2,0,3
Stoke,West Brom,39,45,3,1,1,1,0,4,1,0
Chelsea,West Ham,14,46,0,4,1,2,2,1,1,3
Sunderland,Norwich,40,30,1,1,3,0,3,2,1,2
Norwich,Sunderland,30,40,2,3,0,3,1,1,2,1
Wigan,Newcastle,47,29,2,0,3,4,1,0,0,3
Newcastle,Wigan,29,47,0,1,4,3,0,2,3,0
West Brom,Arsenal,45,0,3,0,2,1,3,1,0,2
Stoke,Aston Villa,39,1,4,1,0,2,2,1,0,0
Sunderland,Chelsea,40,14,1,1,3,2,3,0,1,3
Swansea,Norwich,41,30,3,2,0,0,3,2,3,4
Wigan,QPR,47,34,1,0,4,3,2,0,2,2
Southampton,Reading,38,35,2,2,1,3,1,1,1,0
Reading,Southampton,35,38,1,1,3,1,2,2,0,1
Aston Villa,Stoke,1,39,1,2,2,0,1,4,0,0
Chelsea,Sunderland,14,40,0,3,2,3,1,1,3,1
Norwich,Swansea,30,41,2,3,0,0,2,3,4,3
Arsenal,West Brom,0,45,1,3,1,2,0,3,2,0
QPR,Wigan,34,47,0,2,3,4,0,1,2,2
Tottenham,Everton,43,18,3,0,2,1,3,1,1,2
West Ham,Liverpool,46,25,2,1,2,1,2,2,2,3
Man United,Man City,27,26,4,0,1,0,2,3,3,2
Man City,Man United,26,27,3,2,0,1,0,4,2,3
Everton,Tottenham,18,43,1,3,1,2,0,3,2,1
Liverpool,West Ham,25,46,2,2,1,2,1,2,3,2
Newcastle,Fulham,29,19,1,0,4,3,2,0,1,2
Fulham,Newcastle,19,29,0,2,3,4,0,1,2,1
Sunderland,Reading,40,35,1,1,3,4,0,1,3,0
Reading,Sunderland,35,40,1,0,4,3,1,1,0,3
Liverpool,Aston Villa,25,1,3,1,1,1,3,1,1,3
Stoke,Everton,39,18,3,2,0,1,3,1,1,1
QPR,Fulham,34,19,0,3,2,3,1,1,2,1
Aston Villa,Liverpool,1,25,1,3,1,1,1,3,3,1
Newcastle,Man City,29,26,1,0,4,1,2,2,1,3
Sunderland,Man United,40,27,1,1,3,1,0,4,1,3
Man City,Newcastle,26,29,2,2,1,4,0,1,3,1
Wigan,Norwich,47,30,1,1,3,0,2,3,1,2
Fulham,QPR,19,34,1,1,3,2,3,0,1,2
Everton,Stoke,18,39,1,3,1,0,2,3,1,1
Man United,Sunderland,27,40,4,0,1,3,1,1,3,1
Norwich,Wigan,30,47,3,2,0,3,1,1,2,1
Tottenham,Swansea,43,41,3,0,2,1,1,3,1,0
Swansea,Tottenham,41,43,3,1,1,2,0,3,0,1
West Ham,West Brom,46,45,1,1,3,3,0,2,0,0
West Brom,West Ham,45,46,2,0,3,3,1,1,0,0
Reading,Arsenal,35,0,0,0,5,1,2,2,2,5
Arsenal,Reading,0,35,2,2,1,5,0,0,5,2
Wigan,Arsenal,47,0,1,1,3,1,2,2,0,1
West Ham,Everton,46,18,1,1,3,0,4,1,1,2
Liverpool,Fulham,25,19,2,1,2,3,1,1,4,0
Fulham,Liverpool,19,25,1,1,3,2,1,2,0,4
Reading,Man City,35,26,0,0,5,1,2,2,0,1
QPR,Newcastle,34,29,1,3,1,4,0,1,0,1
West Brom,Norwich,45,30,1,1,3,0,2,3,2,1
Newcastle,QPR,29,34,1,0,4,1,3,1,1,0
Man City,Reading,26,35,2,2,1,5,0,0,1,0
Sunderland,Southampton,40,38,1,1,3,1,1,3,1,0
Tottenham,Stoke,43,39,4,0,1,0,2,3,0,0
Southampton,Sunderland,38,40,3,1,1,3,1,1,0,1
Stoke,Tottenham,39,43,3,2,0,1,0,4,0,0
Norwich,West Brom,30,45,3,2,0,3,1,1,1,2
Everton,West Ham,18,46,1,4,0,3,1,1,2,1
Arsenal,Wigan,0,47,2,2,1,3,1,1,1,0
Chelsea,Aston Villa,14,1,1,2,2,0,3,2,8,0
Aston Villa,Chelsea,1,14,2,3,0,2,2,1,0,8
Swansea,Man United,41,27,2,1,2,0,0,5,1,1
Man United,Swansea,27,41,5,0,0,2,1,2,1,1
Tottenham,Aston Villa,43,1,3,1,1,1,2,2,4,0
Norwich,Chelsea,30,14,3,1,1,1,2,2,0,1
Wigan,Everton,47,18,0,1,4,0,3,2,1,2
Southampton,Fulham,38,19,2,1,2,3,1,1,1,1
Stoke,Liverpool,39,25,2,3,0,2,0,3,3,1
Sunderland,Man City,40,26,2,0,3,1,1,3,1,0
Newcastle,Man United,29,27,2,0,3,0,1,4,3,4
Man United,Newcastle,27,29,4,1,0,3,0,2,4,3
Chelsea,Norwich,14,30,2,2,1,1,1,3,1,0
West Brom,QPR,45,34,1,1,3,1,3,1,2,1
Swansea,Reading,41,35,2,1,2,5,0,0,0,0
Fulham,Southampton,19,38,1,1,3,2,1,2,1,1
Liverpool,Stoke,25,39,3,0,2,0,3,2,1,3
Man City,Sunderland,26,40,3,1,1,3,0,2,0,1
Reading,Swansea,35,41,0,0,5,2,1,2,0,0
Aston Villa,Tottenham,1,43,2,2,1,1,1,3,0,4
QPR,West Brom,34,45,1,3,1,3,1,1,1,2
Everton,Wigan,18,47,2,3,0,4,1,0,2,1
Newcastle,Arsenal,29,0,2,0,3,1,1,3,3,7
Wigan,Aston Villa,47,1,0,1,4,2,2,1,3,0
Swansea,Fulham,41,19,1,2,2,3,1,1,2,1
Norwich,Man City,30,26,3,0,2,2,1,2,3,4
West Brom,Man United,45,27,2,1,2,0,1,4,0,2
Arsenal,Newcastle,0,29,3,1,1,3,0,2,7,3
Man City,Norwich,26,30,2,1,2,2,0,3,4,3
West Ham,Reading,46,35,1,1,3,4,1,0,0,1
Stoke,Southampton,39,38,2,3,0,2,2,1,3,3
Southampton,Stoke,38,39,1,2,2,0,3,2,3,3
Tottenham,Sunderland,43,40,3,1,1,2,0,3,2,1
Fulham,Swansea,19,41,1,1,3,2,2,1,1,2
Sunderland,Tottenham,40,43,3,0,2,1,1,3,1,2
Man United,West Brom,27,45,4,1,0,2,1,2,2,0
Reading,West Ham,35,46,0,1,4,3,1,1,1,0
Aston Villa,Wigan,1,47,1,2,2,4,1,0,0,3
Everton,Chelsea,18,14,3,2,0,1,1,3,1,2
Chelsea,Everton,14,18,3,1,1,0,2,3,2,1
QPR,Liverpool,34,25,1,2,2,2,0,3,0,3
Liverpool,QPR,25,34,3,0,2,2,2,1,3,0
Southampton,Arsenal,38,0,1,2,2,1,0,4,1,1
Swansea,Aston Villa,41,1,1,2,2,3,1,1,2,2
West Brom,Fulham,45,19,2,1,2,3,1,1,1,2
Stoke,Man City,39,26,1,4,0,2,0,3,0,3
Wigan,Man United,47,27,1,1,3,0,1,4,0,4
West Ham,Norwich,46,30,1,1,3,3,0,2,2,1
Tottenham,Reading,43,35,3,1,1,3,1,1,3,1
Arsenal,Southampton,0,38,4,0,1,2,2,1,1,1
Man City,Stoke,26,39,3,0,2,0,4,1,3,0
Aston Villa,Swansea,1,41,1,1,3,2,2,1,2,2
Reading,Tottenham,35,43,1,1,3,1,1,3,1,3
Fulham,West Brom,19,45,1,1,3,2,1,2,2,1
Norwich,West Ham,30,46,2,0,3,3,1,1,1,2
Man United,Wigan,27,47,4,1,0,3,1,1,4,0
QPR,Chelsea,34,14,1,1,3,1,0,4,1,0
Newcastle,Everton,29,18,1,0,4,1,1,3,1,2
Sunderland,Liverpool,40,25,3,0,2,2,0,3,0,3
Everton,Newcastle,18,29,3,1,1,4,0,1,2,1
Chelsea,QPR,14,34,4,0,1,3,1,1,0,1
Liverpool,Sunderland,25,40,3,0,2,2,0,3,3,0
Southampton,Aston Villa,38,1,1,3,1,3,1,1,1,0
Stoke,Chelsea,39,14,1,3,1,1,0,4,0,4
Swansea,Everton,41,18,1,3,1,1,1,3,0,0
Wigan,Fulham,47,19,1,0,4,3,1,1,1,1
Norwich,Newcastle,30,29,1,0,4,4,0,1,0,0
Newcastle,Norwich,29,30,1,0,4,4,0,1,0,0
Tottenham,QPR,43,34,4,1,0,3,0,2,0,0
West Brom,Reading,45,35,2,1,2,3,1,1,2,3
Aston Villa,Southampton,1,38,1,1,3,1,3,1,0,1
Chelsea,Stoke,14,39,4,0,1,1,3,1,4,0
West Ham,Sunderland,46,40,1,1,3,3,0,2,0,3
Everton,Swansea,18,41,3,1,1,1,3,1,0,0
QPR,Tottenham,34,43,2,0,3,0,1,4,0,0
Reading,West Brom,35,45,1,1,3,2,1,2,3,2
Sunderland,West Ham,40,46,2,0,3,3,1,1,3,0
Fulham,Wigan,19,47,1,1,3,4,0,1,1,1
Man City,Arsenal,26,0,4,0,1,0,1,4,2,0
Man United,Liverpool,27,25,4,1,0,2,0,3,2,1
Arsenal,Man City,0,26,4,1,0,1,0,4,0,2
Liverpool,Man United,25,27,3,0,2,0,1,4,1,2
Southampton,Chelsea,38,14,1,3,1,1,0,4,2,2
Chelsea,Southampton,14,38,4,0,1,1,3,1,2,2
West Brom,Aston Villa,45,1,2,0,3,4,1,0,2,2
